model_name,model_id,accuracy,macro_f1,micro_f1,weighted_f1,macro_precision,macro_recall,balanced_accuracy,mcc,cohen_kappa
mistral_7b_instruct_v02,mistralai/Mistral-7B-Instruct-v0.2,0.38423760523854067,0.3032753113052459,0.38423760523854067,0.3989288995770662,0.447817191869936,0.31738937964833847,0.37028760958972823,0.2990034542705529,0.2693544960167462
llama3_8b_instruct,meta-llama/Meta-Llama-3-8B-Instruct,,,,,,,,,
phi3_mini_4k_instruct,microsoft/Phi-3-mini-4k-instruct,0.36435921421889617,0.33278212060508505,0.36435921421889617,0.4458891126884488,0.5209493784325044,0.2745908030231468,0.3203559368603379,0.3138668323148175,0.27679988012798373
qwen2_7b_instruct,Qwen/Qwen2-7B-Instruct,0.5322731524789522,0.43083858621057425,0.5322731524789522,0.5460572897812148,0.5041373221045614,0.4365109196916978,0.5092627396403141,0.4474757950889251,0.4319364629701885
llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,,,,,,,,,
qwen25_7b_instruct,Qwen/Qwen2.5-7B-Instruct,0.6103835360149673,0.48186208824199384,0.6103835360149673,0.6117006158698973,0.4968915834132211,0.48741479842231594,0.5686505981593686,0.5187185897753634,0.5153234279139278
qwen25_3b_instruct,Qwen/Qwen2.5-3B-Instruct,0.3215622076707203,0.2280332315830045,0.3215622076707203,0.28826735813534354,0.39011922891699163,0.28354523209700067,0.3308027707798341,0.2285325333808216,0.19991929970825473
qwen25_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,0.4567352666043031,0.3048797274214768,0.4567352666043031,0.438856096796948,0.3585128936488315,0.3162736171113469,0.3689858866299047,0.3249906975182177,0.3168463738102074
smollm2_1_7b_instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct,0.02245088868101029,0.02400678676112419,0.02245088868101029,0.015321126398074232,0.23963923301480902,0.05000461633883848,0.05833871906197823,0.012931941128246551,0.00719185014005308
gemma2_2b_instruct,google/gemma-2-2b-it,,,,,,,,,
gemma2_9b_instruct,google/gemma-2-9b-it,,,,,,,,,
phi35_mini_instruct,microsoft/Phi-3.5-mini-instruct,0.6038353601496725,0.4573698292242813,0.6038353601496725,0.6015667347970066,0.49305413738470066,0.4656984132259931,0.5433148154303252,0.5111877829479322,0.5057647465400843
mistral_nemo_instruct,mistralai/Mistral-Nemo-Instruct-2407,0.31594948550046775,0.2817526229140433,0.31594948550046775,0.3464401892690533,0.47583811829019024,0.2464342227490802,0.28750659320726024,0.22092945787136634,0.19531744791981664
