QUESTION,BT LEVEL
Suggest  any  TWO  (2)  efforts  that  organization  may  perform  in  order  to discourage unethical behavior.,SYNTHESIS
Define factors of production.,KNOWLEDGE
Briefly describe FIVE (5) general types of factors of production.,COMPREHENSION
Discuss how Resource Based View can be implemented in organizations to reinforce financial standing.,APPLY
"In your opinion,  provide  any  TWO  (2)  reasons  why  the  actions  of  one  firm  can significantly affect the sales of the other firms in an oligopoly market. ",COMPREHENSION
Define electronic commerce.,KNOWLEDGE
Explain THREE (3) broad categories of e-commerce with examples.,COMPREHENSION
Discuss any THREE (3) ways by which an organization can benefit from e-commerce.,COMPREHENSION
Advise Smith on any FIVE (5) types of information which should be included in the website.,SYNTHESIS
Suggest any THREE (3) specific ways with elaborations on how this new business may utilize the Internet technology to achieve cost efficiency.,SYNTHESIS
Differentiate between data and information using examples.,ANALYSIS
State any FOUR (4) characteristics of valuable information.,KNOWLEDGE
Explain the differences between volatile and non-volatile storage.,COMPREHENSION
Suggest THREE (3) specific types of application software  that  may help to  support James's business activities. ,SYNTHESIS
List and describe THREE (3) accounting cycles in an Accounting Information System.,KNOWLEDGE
State FOUR (4) basic business activities that are performed in the revenue cycle.,KNOWLEDGE
Show in a step by step manner how TQM can be implemented successfully in education sector.,APPLY
List any THREE (3) practical approaches for payment collection  in revenue cycle.,KNOWLEDGE
Compare and contrast Manufacturing Resource Planning  (MRP-II) and Lean Manufacturing.,ANALYSIS
"As a manager in an Information Technology firm, suggest and elaborate any THREE (3) actions that organizations can take as part of the responsibility towards the society.",SYNTHESIS
Illustrate each of these situations with TWO (2) real-life examples.  ,COMPREHENSION
Explain the differences between ethical dilemma and ethical lapse.,COMPREHENSION
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,EVALUATE
Differentiate between Market Economy and Planned Economy.,ANALYSIS
Provide  each  of  Market  Economy  and  Planned  Economy  with  an example.,COMPREHENSION
Differentiate between a wholesaler and a retailer.,ANALYSIS
"In your opinion, identify the relationship between factors of and a country's economic system.",COMPREHENSION
Briefly  describe  THREE  (3) types  of business  process  that  traditionally organized around functional areas of business. Provide an example of each.,KNOWLEDGE
Propose  and justify ONE  (1)  international market-entry strategy that you may consider to market your products internationally.,EVALUATE
Construct a basic diagram or figure to demonstrate your understandings on what Information System is.,COMPREHENSION
State a main difference between a customer and a contact.,COMPREHENSION
Identify ONE (1) most likely error of the following quotation.,KNOWLEDGE
Determine  which  sub-stage that the  deal  is currently  in for the  following cases.,APPLY
"Three sales sub-stages: qualification, proposition and negotiation are included in both OpenERP and SugarCRM, before a deal is won. Give a brief description of these sub-stages.",COMPREHENSION
State your recommended solution with justification.,EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,EVALUATE
Suggest and elaborate any TWO (2) efforts or methods that your company may use in order to gain competitive advantage over your competitors.,SYNTHESIS
Justify your answers with elaborations by providing any TWO (2) reasons.,EVALUATE
Differentiate between data and information using a real life example.,ANALYSIS
Briefly  discuss  on the  difference  between  volatile  and  non-volatile storage.,COMPREHENSION
Briefly discuss any THREE (3) specific internet technologies or tools that are commonly found in providing support for business activities.,COMPREHENSION
Provide a real life example on conflict of interest situation.,COMPREHENSION
Illustrate  your understanding for oligopoly competition and monopolistic competition using ONE (1) real life example for each.,COMPREHENSION
Briefly discuss any TWO (2) consequences for whistle-blowing activity.,COMPREHENSION
Explain how Porter's concept can be used in education domain.,APPLY
List any TWO (2) real life examples of  the  organization  that implement the clicks-and-bricks B2C E-Commerce.,KNOWLEDGE
Provide THREE (3) examples of input devices.,KNOWLEDGE
Identify and discuss THREE (3) issues on employee productivity problems that companies face.,COMPREHENSION
Briefly provide any TWO (2) real life situations to illustrate on ethical dilemma.,COMPREHENSION
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,EVALUATE
Explain the concept of clicks-and-bricks model in e-commerce.,COMPREHENSION
