A,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
 Analyze the health economic implications of efficient perioperative practice. ,9,99,50,4.97,25.77,9,66.67,88.89,22.22,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,22.22,0,22.22,0,0,0,0,11.11,0,0,0,0,0,33.33,0,0,11.11,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0
 Apply research skills to operate effectively as a member of a research project team. ,14,99,92.33,1.06,25.77,14,35.71,92.86,35.71,0,0,0,0,0,0,0,0,14.29,21.43,0,0,7.14,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,21.43,14.29,14.29,0,0,0,0,0,0,0,0,0,0,42.86,7.14,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0
 Assess and synthesise diverse information about information and knowledge management technologies market and how to use implementation strategies to maximise their strengths and minimise their weaknesses.  ,26,43.96,77.92,5.76,89.84,26,50,73.08,38.46,7.69,7.69,0,0,0,0,7.69,0,0,11.54,0,7.69,19.23,0,3.85,0,0,3.85,0,0,3.85,3.85,0,0,0,0,7.69,0,0,0,0,19.23,11.54,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,3.85,11.54,0,0,0,3.85,0,0,0,0,0,7.69,0,0,3.85,0,0,0,0,0,0,0,0,3.85,3.85,0,0,0,0,0,0,0,0,0,0
" Describe the general characteristics of the modern X-ray system used in clinical practice, including scientific principles, and production of the digital image. ",23,99,50,2.02,25.77,23,43.48,78.26,34.78,0,0,0,0,0,0,0,0,13.04,17.39,0,0,4.35,0,8.7,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,8.7,0,0,0,0,4.35,4.35,0,0,4.35,0,4.35,0,0,4.35,0,4.35,0,0,0,4.35,8.7,0,8.7,0,4.35,4.35,13.04,0,0,0,0,0,0,0,0,0,0,0,17.39,4.35,8.7,0,0,0,0,4.35,0,0,0,0
 Evaluate the different models of perioperative care that exist globally. ,10,98.58,15.86,93.3,99,10,40,70,30,10,0,0,0,0,0,0,10,10,10,0,0,0,0,10,10,10,0,0,0,10,10,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
 explain key terms and concepts used to engage with big data involving digital language and contribute to informed debates on digital language;,22,98.34,99,31.94,94.75,22,45.45,72.73,27.27,0,0,0,0,0,0,0,0,0,18.18,0,0,9.09,0,13.64,13.64,0,0,0,0,4.55,4.55,0,0,0,0,27.27,0,0,0,0,13.64,9.09,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,4.55,0,0,9.09,4.55,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,0,0,0,0,0,0,0
 Identify an issue of relevance to the practice of perioperative medicine capable of further investigation and research within the context of a capstone project. ,24,99,50,7.84,25.77,24,50,79.17,45.83,0,0,0,0,0,0,0,0,16.67,25,0,0,4.17,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,0,8.33,0,8.33,0,0,0,0,4.17,0,8.33,0,8.33,0,16.67,0,0,4.17,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0
" Identify the key features of the use of radiation, how it produces the image, and its safe use in diagnostic radiographic practice. ",22,96.54,50,11,94.75,22,31.82,86.36,45.45,9.09,0,0,0,0,0,0,9.09,13.64,13.64,0,4.55,9.09,0,9.09,4.55,0,4.55,0,0,4.55,4.55,0,0,0,0,0,0,0,0,0,27.27,9.09,18.18,0,0,0,0,9.09,4.55,4.55,0,4.55,0,4.55,0,0,9.09,0,4.55,0,0,4.55,0,13.64,0,4.55,0,4.55,0,9.09,4.55,0,0,0,0,0,0,0,0,0,0,13.64,4.55,9.09,0,0,0,0,0,0,0,0,0
 Recognise the key role that human factors play in the leadership and development of a highly functional perioperative team. ,19,99,98.19,4.05,97.58,19,31.58,73.68,36.84,5.26,0,0,0,0,0,0,5.26,15.79,10.53,0,0,5.26,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,21.05,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.53,5.26,10.53,5.26,0,0,0,0,0,5.26,0,5.26,0,15.79,10.53,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0
" Rigorously quantify the mixing of various classes of finite Markov chains, using a variety of techniques; ",16,99,50,1,25.77,16,37.5,56.25,31.25,0,0,0,0,0,0,0,0,12.5,18.75,0,0,0,0,6.25,12.5,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,0,6.25,0,6.25,0,0,0,0,0,0,0
 Understand the importance of defining and accurately measuring patient outcomes and the implication to best practice. ,16,99,50,7.84,99,16,56.25,87.5,37.5,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,0,6.25,6.25,6.25,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,31.25,12.5,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,0,18.75,0,18.75,6.25,6.25,0,0,12.5,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0
"(For students of the Japanese language only:) utilize Japanese language skills in academic research and discussion of contemporary issues in Japan, as appropriate to proficiency level.",27,99,86.68,4.97,88.52,27,44.44,77.78,37.04,0,0,0,0,0,0,0,0,3.7,25.93,0,3.7,7.41,0,0,11.11,3.7,0,0,0,3.7,3.7,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,7.41,3.7,0,0,0,0,0,11.11,0,11.11,0,14.81,0,0,0,0,0,3.7,0,3.7,0,0,0,11.11,3.7,3.7,0,0,0,0,0,0,0,3.7,0
"1. demonstrate advanced understanding and application of financial management theory, challenges, methods, tools and frameworks",15,84.62,50,10.08,99,7.5,60,66.67,20,0,0,0,0,0,0,0,0,0,6.67,0,0,13.33,0,0,0,0,0,6.67,0,6.67,6.67,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,20,0,13.33,6.67,6.67,0,0,0,0,6.67,6.67,0,0,26.67,0,0,6.67,0,0,0,0,0,0,0,0,26.67,6.67,20,0,0,0,0,0,0,0,0,0
"1. demonstrate an understanding and application of methods, strategies, tactics, and tools for developing connection, communication and community",18,93.26,86.68,4.97,25.77,9,55.56,72.22,33.33,0,0,0,0,0,0,0,0,5.56,11.11,0,0,16.67,0,0,0,0,0,5.56,0,0,0,0,0,0,0,11.11,0,0,0,0,5.56,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,11.11,5.56,0,0,0,0,0,0,5.56,0,5.56,0,11.11,0,0,0,0,0,0,0,0,0,0,0,27.78,5.56,22.22,0,0,0,0,0,0,0,0,0
"1. Identifyroles and responsibilities of health professionals in the care of childbearing women, neonates, children &adolescents.",16,99,89.42,7.84,99,8,43.75,75,31.25,0,0,0,0,0,0,0,0,6.25,18.75,0,0,6.25,0,6.25,0,0,0,6.25,0,6.25,6.25,0,0,0,0,12.5,0,0,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,0,6.25,0,6.25,0,0,6.25,0,0,6.25,0,0,0,6.25,0,6.25,0,6.25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,31.25,12.5,12.5,0,0,0,0,0,0,0,0,6.25
"2. Outline key aspects of the assessment and care of the woman and baby during the antenatal, perinatal and postnatal periods.",21,99,82.96,2.82,95.81,10.5,33.33,66.67,42.86,0,0,0,0,0,0,0,0,14.29,14.29,0,0,14.29,0,4.76,0,0,0,4.76,0,4.76,4.76,0,0,0,0,9.52,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.76,0,9.52,0,0,9.52,4.76,0,0,0,0,0,0,0,0,0,0,0,14.29,9.52,4.76,0,0,0,0,0,0,0,0,0
"3. Describe a systematic approach to paediatric assessment that reflects changes in growth, development and anatomy and physiology differences.",19,93.26,29.92,96.09,25.77,9.5,57.89,68.42,31.58,5.26,0,0,0,0,0,0,5.26,5.26,10.53,0,0,10.53,0,5.26,5.26,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,15.79,5.26,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,5.26,0,21.05,15.79,5.26,0,5.26,0,0,0,0,0,0,0,0,0,0,0,15.79,10.53,5.26,0,0,0,0,0,0,0,0,0
"4.Analysea variety of communication skills to effectively engage and interact with children, their families and the multidisciplinary health care team",21,96.66,99,2.82,99,21,38.1,90.48,33.33,4.76,4.76,0,0,0,0,4.76,0,4.76,14.29,0,0,9.52,0,4.76,4.76,4.76,0,4.76,4.76,9.52,9.52,0,0,0,0,33.33,4.76,0,0,0,9.52,9.52,4.76,0,0,0,0,0,0,0,0,4.76,0,4.76,0,0,28.57,19.05,9.52,4.76,0,0,0,4.76,0,0,0,0,0,14.29,9.52,4.76,0,0,0,0,0,0,0,0,0,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0
"5.Discuss the impact of hospitalization on the child and family and identify strategies, including family centred care, to support families through the experience.",24,99,98.11,7.84,99,24,41.67,91.67,41.67,0,0,0,0,0,0,0,0,12.5,20.83,0,0,8.33,0,8.33,0,0,0,4.17,0,8.33,8.33,0,0,0,0,20.83,12.5,0,0,0,4.17,4.17,0,0,0,0,0,4.17,0,0,0,4.17,0,4.17,0,0,20.83,12.5,4.17,4.17,0,0,0,8.33,0,8.33,0,8.33,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,16.67,8.33,8.33,0,0,0,0,0,0,0,0,0
"6.Identify appropriate management, prevention and health promotion strategies for common childhood illness/injury.",14,93.26,50,52.86,25.77,14,57.14,92.86,14.29,0,0,0,0,0,0,0,0,0,7.14,0,0,7.14,0,0,14.29,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,21.43,7.14,21.43,0,0,28.57,0,14.29,7.14,7.14,7.14,0,0,0,14.29,0,0,7.14,14.29,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,7.14,0,0,0,0,0,0,0,0,7.14
"A basic understanding of key features of modern Chinese history with reference to: East-West perspectives on Chinese Studies; May Fourth concepts of enlightenment, democracy, science and nationalism; the Cultural Revolution and the renewal of humanist values in post-Mao China",41,99,68.71,71.4,71.55,41,41.46,73.17,34.15,0,0,0,0,0,0,0,0,7.32,19.51,2.44,0,4.88,0,2.44,4.88,0,0,2.44,0,2.44,2.44,0,0,0,0,4.88,0,0,0,0,9.76,7.32,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,2.44,0,0,0,0,2.44,17.07,0,9.76,4.88,4.88,0,0,0,0,0,0,0,0,0,0,0,17.07,0,4.88,2.44,4.88,0,0,4.88,0,0,0,0
"A basic understanding of key issues in contemporary Chinese society and politics, focused on (i) the concepts of trust and justice; (ii) media reporting in and about present-day China; (iii) Chinese nationalism and patriotism; and (iv) public culture and debate in the Chinese-speaking world;",46,96.43,86.15,40.55,66.89,46,34.78,69.57,36.96,2.17,2.17,2.17,0,0,0,0,0,6.52,15.22,0,2.17,13.04,0,2.17,4.35,0,0,0,0,2.17,2.17,0,0,0,0,13.04,0,0,0,0,2.17,2.17,0,0,0,0,0,2.17,0,2.17,0,2.17,0,2.17,0,0,6.52,0,0,4.35,0,2.17,0,4.35,0,15.22,0,10.87,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,32.61,0,2.17,0,8.7,0,0,4.35,0,0,17.39,0
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in German literature from the late eighteenth century to the early nineteenth century;",28,99,50,89.63,87.2,28,35.71,71.43,32.14,0,0,0,0,0,0,0,0,14.29,14.29,0,0,3.57,0,0,10.71,0,0,7.14,0,3.57,3.57,0,0,0,0,0,0,0,0,0,3.57,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3.57,21.43,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0,10.71,0,3.57,0,0,3.57,0,0,0,0
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in modern German literature;",19,99,50,81.22,97.58,19,31.58,57.89,26.32,0,0,0,0,0,0,0,0,10.53,10.53,0,0,5.26,0,0,10.53,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05,0,5.26,15.79,0,0,0,0,0,0,0,0,0,0,0,0,26.32,0,15.79,0,5.26,0,0,5.26,0,0,0,0
