model_name,model_id,accuracy,macro_f1,micro_f1,weighted_f1,macro_precision,macro_recall,balanced_accuracy,mcc,cohen_kappa
mistral_7b_instruct_v02,mistralai/Mistral-7B-Instruct-v0.3,0.5853601496725912,0.47313940681995614,0.5853601496725912,0.5964506041462649,0.48103521861073645,0.4873675748103696,0.5685955039454312,0.4924582175650124,0.48921715561385615
llama3_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0.514265668849392,0.3941772253563309,0.514265668849392,0.5322228820496367,0.43725183844614435,0.3808039504390978,0.4442712755122808,0.41315758632719674,0.4049637651907986
phi35_mini_4k_instruct,microsoft/Phi-3.5-mini-instruct,0.5519176800748363,0.4304912635140586,0.5519176800748363,0.5646765191426816,0.45372029874882525,0.4342456056372678,0.5066198732434791,0.4571990979495405,0.44981391769023293
qwen2_7b_instruct,Qwen/Qwen2-7B-Instruct,0.5596351730589336,0.432377046968275,0.5596351730589336,0.5595023436054753,0.5197260499572521,0.4364262442216226,0.509163951591893,0.4642673719786513,0.451500743484598
llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0.514265668849392,0.3941772253563309,0.514265668849392,0.5322228820496367,0.43725183844614435,0.3808039504390978,0.4442712755122808,0.41315758632719674,0.4049637651907986
qwen25_7b_instruct,Qwen/Qwen2.5-7B-Instruct,0.6216089803554724,0.579021082511993,0.6216089803554724,0.6243433909753118,0.5795475780904615,0.5890816950971738,0.5890816950971738,0.530001048316422,0.5286802263184662
qwen25_3b_instruct,Qwen/Qwen2.5-3B-Instruct,0.5610383536014967,0.40480002139696497,0.5610383536014967,0.5441806616778321,0.41510294680763604,0.4158544777390048,0.48516355736217226,0.4520020276867105,0.44590811385195883
qwen25_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,0.11786716557530402,0.12415755090651939,0.11786716557530402,0.1849113237371596,0.470877846401237,0.08016720548250937,0.09352840639626094,0.1578637360623187,0.08269145055072669
smollm2_1_7b_instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct,0.4714686623012161,0.31674141355085006,0.4714686623012161,0.4312863390658519,0.47984884889051693,0.3326289852442273,0.38806714945159854,0.36770707432499433,0.3266141732283464
gemma2_2b_instruct,google/gemma-2-2b-it,0.002104770813844715,0.004290322985294163,0.002104770813844715,0.004174644775425689,0.4693877551020408,0.002182060531985374,0.0025457372873162695,0.0210289307915946,0.0015714871232503924
gemma2_9b_instruct,google/gemma-2-9b-it,0.6749298409728719,0.5384685770413793,0.6749298409728719,0.675608868048606,0.5555489046051652,0.5337499548636402,0.6227082806742469,0.593618766870689,0.5930778514414159
phi35_mini_instruct,microsoft/Phi-4-mini-instruct,0.5640785781103835,0.4523897703057675,0.5640785781103835,0.5630682670687078,0.49366596322456224,0.48613657986868347,0.5671593431801307,0.4800869169979993,0.4678474024753603
mistral_nemo_instruct,mistralai/Mistral-Nemo-Instruct-2407,0.47123479887745556,0.44454081484131475,0.47123479887745556,0.5689859541960774,0.5629313257980844,0.38274851439881347,0.44653993346528237,0.4332393507975923,0.3961846104343507
