model_name,model_id,accuracy,macro_f1,micro_f1,weighted_f1,macro_precision,macro_recall,balanced_accuracy,mcc,cohen_kappa
mistral_7b_instruct_v02,mistralai/Mistral-7B-Instruct-v0.3,0.43662301216089805,0.35214507631115965,0.43662301216089805,0.45988834556921315,0.49606202345358136,0.35813610258614376,0.4178254530171677,0.3748485478226825,0.3230246058123273
llama3_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0.17563143124415342,0.15300160001073476,0.17563143124415342,0.20132458636526207,0.2837474574777941,0.13145056309996697,0.1533589902832948,0.08160598227871498,0.06943782138965038
phi35_mini_4k_instruct,microsoft/Phi-3.5-mini-instruct,0.6038353601496725,0.4576890348752175,0.6038353601496725,0.6016796747346466,0.4936578482580489,0.4660687343201178,0.5437468567068041,0.5113458750324916,0.5058659262465972
qwen2_7b_instruct,Qwen/Qwen2-7B-Instruct,0.5318054256314313,0.43046306756480435,0.5318054256314313,0.5456156031191579,0.5038186769505585,0.4361460459284344,0.5088370535831735,0.4469308139800939,0.4313677573228766
llama31_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,0.17563143124415342,0.15300160001073476,0.17563143124415342,0.20132458636526207,0.2837474574777941,0.13145056309996697,0.1533589902832948,0.08160598227871498,0.06943782138965038
qwen25_7b_instruct,Qwen/Qwen2.5-7B-Instruct,0.6115528531337698,0.48290399269906636,0.6115528531337698,0.6128618062477388,0.49774474963533777,0.4883411193256757,0.569731305879955,0.5200638579057925,0.5167511449750103
qwen25_3b_instruct,Qwen/Qwen2.5-3B-Instruct,0.32343311506080447,0.22974408798124127,0.32343311506080447,0.2902284217060754,0.3884986139504725,0.285230929768853,0.33276941806366184,0.23091998671711905,0.2019870995160561
qwen25_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,0.4567352666043031,0.30624009729233104,0.4567352666043031,0.4395190672151548,0.3599435066745224,0.317043931717797,0.3698845870040965,0.3250709318069589,0.31704721826537674
smollm2_1_7b_instruct,HuggingFaceTB/SmolLM2-1.7B-Instruct,0.022918615528531337,0.02484740274114969,0.022918615528531337,0.01592309719089855,0.23860355665432728,0.05084911014741377,0.0593239618386494,0.014031597926021358,0.007783222542603885
gemma2_2b_instruct,google/gemma-2-2b-it,0.23971000935453696,0.24128383896332298,0.23971000935453696,0.3131329170599725,0.41849639933129995,0.18743944971242138,0.21867935799782492,0.19395163040253038,0.15845284072675636
gemma2_9b_instruct,google/gemma-2-9b-it,0.04373246024321796,0.056122951839338776,0.04373246024321796,0.07862798766717917,0.419988859342994,0.03123357633531686,0.036439172391203,0.08830271771298312,0.029588977809529182
phi35_mini_instruct,microsoft/Phi-4-mini-instruct,0.32296538821328347,0.2987579547200808,0.32296538821328347,0.39201344456466997,0.4168883898439744,0.2611918082539424,0.3047237762962661,0.27060592955381474,0.2389782664986959
mistral_nemo_instruct,mistralai/Mistral-Nemo-Instruct-2407,0.31524789522918617,0.28129082179156417,0.31524789522918617,0.3456612096231636,0.4753228858181818,0.24591383436280484,0.2868994734232723,0.22039265008024228,0.19475546767989238
